opponent,mine,index
e6d7,c2h7,43
g8h8,d6d7,44
e7e6,b5d6,43
b7b5,a4b5,47
c8f8,d7f7,47
e6d6,f7f8,47
h8h7,f1e1,41
d6f8,e1e8,36
f8d6,b5b8,36
d6d7,e8h8,34
h7g6,b8e8,32
d7f7,e8f7,28
g6f7,f2f4,16
g5e7,h8a8,17
g7g6,a8a5,22
f7f6,a5d5,18
e7f8,g4g5,18
f6e6,d5e5,17
e6f7,d4d5,22
h6g5,e5g5,19
f8d6,f4f5,13
f7f6,g5g6,11
f6e7,f5f6,16
e7e8,g6g7,13
d6a3,g7a7,20
a3c1,f6f7,23
e8f8,d5d6,19
c1g5,d6d7,19
g5f6,a7a8,20
f8f7,d7d8n,25
f7e7,d8c6,20
e7d7,c6b4,29
d7e6,a8c8,27
f6e7,c8c4,24
e6e5,g3g4,22
e5d6,c4d4,21
d6c5,d4d5,25
c5b6,c3c4,28
e7c5,d5c5,23
b6c5,g4g5,14
c5c4,g5g6,14
c4b3,g6g7,14
b3c4,g7g8q,17
c4b4,g2f3,26
b4a3,f3e3,28
a3a4,e3d3,28
a4b4,g8c4,26
b4a5,d3d4,28
a5b6,c4c5,25
b6a6,c5b4,27
a6a7,d4c5,25
a7a8,c5c6,25
a8a7,b4b7,28
start,d2d4,19
d7d6,c1f4,27
e7e6,e2e3,30
f7f5,c2c3,37
c7c5,g1f3,39
b8c6,f1b5,38
a7a6,b5c6,43
e8e7,e1g1,43
g8f6,c6a4,40
b7b5,a4c2,34
h7h5,f4g5,35
g7g6,b1d2,33
f8h6,g5f6,36
e7f8,f6h8,40
d8h4,g2g3,35
h4h3,e3e4,33
h3g4,e4e5,33
d6e5,f3e5,35
g4d1,a1d1,40
f8g8,e5g6,39
c8d7,d4c5,37
a8c8,d2f3,37
d7c6,g6e7,42
g8h8,e7c8,39
c6b7,d1d8,38
h8g7,h2h4,43
b7c8,d8c8,39
e6e5,c8c6,36
h6g5,f1d1,36
e2e4,g7g6,19
d1f3,g8f6,20
f1c4,f8g7,22
c2c3,e8g8,25
d2d3,d7d6,24
g1h3,c8h3,31
g2h3,c7c5,27
c1e3,b8c6,28
e4e5,c6e5,33
f3b7,e5c4,31
d3c4,a8b8,26
b7a7,f6e4,29
b1a3,f7f5,35
f2f3,f5f4,37
e3f4,f8f4,38
f3e4,f4e4,40
e1d2,b8b2,40
d2d3,b2e2,48
a3b5,e7e5,41
a7c7,d8g5,35
c7c8,g7f8,2
c8e6,g8g7,1
b5d6,g5e3,35
e2e4,g7g6,19
g1f3,d7d6,20
f1d3,g8f6,27
c2c4,f8g7,30
d1a4,b8d7,7
e1g1,e8g8,23
b1c3,d7b6,26
a4b4,a7a5,31
b4a3,e7e6,32
e4e5,d6e5,28
f3e5,f6h5,30
f1e1,d8g5,33
c4c5,b6d5,35
c5c6,g7e5,40
c6b7,c8b7,46
d3e4,f7f5,52
d2d4,e5h2,54
g1h1,h5g3,52
f2g3,g5g3,46
c1h6,d5f4,45
h6f4,g3f4,40
e4b7,a8d8,38
e1e6,d8d4,36
a1e1,g8f7,42
e6e7,f7g8,1
b7d5,g8h8,2
e7e8,f8e8,32
e1e8,h8g7,0
a3e7,g7h6,0
e8h8,f4f1,27
h1h2,d4h4,32
h2g3,f1f4,32
d2d4,g7g6,19
e2e4,d7d6,20
d4d5,g8f6,26
b1c3,f8g7,29
f1e2,e7e5,32
g1f3,e8g8,32
e1g1,c8g4,29
f3g5,g4e2,31
d1e2,h7h6,24
g5f3,c7c5,25
f1e1,g6g5,27
f3d2,b8a6,27
c3b5,a6b4,27
a2a3,b4c2,32
a1a2,c2e1,32
e2e1,a7a6,26
b5c3,b7b5,27
a3a4,b5b4,27
c3e2,c5c4,26
d2c4,f6e4,25
c1d2,h6h5,28
d2b4,e4c5,28
b4c5,d6c5,24
b2b3,e5e4,25
a2d2,d8f6,30
d5d6,a8d8,31
d2d5,f6e6,28
d5c5,d8c8,36
c5g5,f7f6,29
e2f4,e6e8,29
g5h5,f6f5,24
e1d1,c8d8,30
d1d5,f8f7,2
h5f5,d8b8,26
d6d7,e8d8,28
d5f7,g8h7,1
start,d2d4,19
d7d5,c1f4,26
b8c6,e2e3,30
g8f6,f1b5,37
c8d7,g1f3,40
d7f5,b5c6,41
b7c6,e1g1,34
f5e4,b1d2,30
e4f3,d2f3,31
e7e6,f3e5,31
d8d7,e5d7,35
f6d7,f4c7,30
c6c5,c2c3,34
c5d4,d1a4,38
d4c3,b2c3,44
a8c8,a4a7,42
e6e5,a7b7,34
c8c7,b7c7,32
d5d4,e3d4,33
e5d4,f1e1,33
f8e7,c7c8,39
start,d2d4,19
g7g6,c1f4,27
f8g7,e2e3,31
g8f6,c2c3,38
d7d6,g1f3,38
